MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   sinq0   sinq1   sinq2   sinq3   sinq4   sinq5   
-0.245   0   -0.0117658   -0.134392   0.0413859   0.0984747   8.77526e-18   
-0.235   0   -0.0120109   -0.136325   0.0417033   0.099483   2.33171e-17   
-0.225   0   -0.0122467   -0.138189   0.0420083   0.100454   -3.15096e-18   
-0.215   0   -0.0124732   -0.139983   0.0423007   0.101387   1.48671e-17   
-0.205   0   -0.0126901   -0.141705   0.0425804   0.102282   5.2516e-18   
-0.195   0   -0.0128975   -0.143354   0.0428473   0.103138   -1.4203e-17   
-0.185   0   -0.0130951   -0.144929   0.0431015   0.103955   -1.09911e-17   
-0.175   0   -0.0132829   -0.146428   0.0433427   0.104731   2.07625e-17   
-0.165   0   -0.0134607   -0.147851   0.0435709   0.105467   -6.25449e-18   
-0.155   0   -0.0136286   -0.149195   0.0437861   0.106162   -1.0327e-17   
-0.145   0   -0.0137864   -0.150461   0.0439881   0.106816   -1.92446e-17   
-0.135   0   -0.013934   -0.151647   0.044177   0.107428   4.12065e-17   
-0.125   0   -0.0140714   -0.152752   0.0443526   0.107997   2.17247e-17   
-0.115   0   -0.0141984   -0.153775   0.0445149   0.108525   -1.68255e-17   
-0.105   0   -0.0143151   -0.154716   0.0446639   0.109009   -2.90566e-17   
-0.095   0   -0.0144213   -0.155574   0.0447994   0.10945   -3.03577e-18   
-0.085   0   -0.0145171   -0.156348   0.0449215   0.109848   -4.73322e-17   
-0.075   0   -0.0146024   -0.157037   0.0450302   0.110203   -5.92923e-18   
-0.065   0   -0.0146771   -0.157641   0.0451253   0.110513   -3.68222e-17   
-0.055   0   -0.0147411   -0.15816   0.0452069   0.11078   2.23346e-17   
-0.045   0   -0.0147946   -0.158593   0.0452749   0.111002   -5.44134e-18   
-0.035   0   -0.0148374   -0.158939   0.0453294   0.11118   -3.3922e-17   
-0.025   0   -0.0148695   -0.1592   0.0453702   0.111314   8.57875e-18   
-0.015   0   -0.0148909   -0.159373   0.0453975   0.111403   1.77877e-17   
-0.005   0   -0.0149016   -0.15946   0.0454111   0.111447   6.74238e-18   
0.005   0   -0.0149016   -0.15946   0.0454111   0.111447   6.74238e-18   
0.015   0   -0.0148909   -0.159373   0.0453975   0.111403   -1.257e-17   
0.025   0   -0.0148695   -0.1592   0.0453702   0.111314   2.18196e-18   
0.035   0   -0.0148374   -0.158939   0.0453294   0.11118   -2.6834e-18   
0.045   0   -0.0147946   -0.158593   0.0452749   0.111002   -5.44134e-18   
0.055   0   -0.0147411   -0.15816   0.0452069   0.11078   2.23346e-17   
0.065   0   -0.0146771   -0.157641   0.0451253   0.110513   -3.68222e-17   
0.075   0   -0.0146024   -0.157037   0.0450302   0.110203   -5.92923e-18   
0.085   0   -0.0145171   -0.156348   0.0449215   0.109848   -4.73322e-17   
0.095   0   -0.0144213   -0.155574   0.0447994   0.10945   -3.03577e-18   
0.105   0   -0.0143151   -0.154716   0.0446639   0.109009   -2.90566e-17   
0.115   0   -0.0141984   -0.153775   0.0445149   0.108525   -1.68255e-17   
0.125   0   -0.0140714   -0.152752   0.0443526   0.107997   2.17247e-17   
0.135   0   -0.013934   -0.151647   0.044177   0.107428   4.12065e-17   
0.145   0   -0.0137864   -0.150461   0.0439881   0.106816   -1.92446e-17   
0.155   0   -0.0136286   -0.149195   0.0437861   0.106162   -1.0327e-17   
0.165   0   -0.0134607   -0.147851   0.0435709   0.105467   -6.25449e-18   
0.175   0   -0.0132829   -0.146428   0.0433427   0.104731   1.6629e-17   
