MAX_Q: 5 | TOT_ANGS: 200
Cos(th)   cosq0   cosq1   cosq2   cosq3   cosq4   cosq5   
-0.325   0.609141   0.066148   -0.0928921   -0.00354097   -0.0198546   -9.1073e-18   
-0.315   0.61473   0.0663841   -0.0947854   -0.00357905   -0.0201398   -1.82146e-17   
-0.305   0.620194   0.0666119   -0.0966362   -0.00361606   -0.020418   2.46114e-17   
-0.295   0.625527   0.0668317   -0.0984429   -0.003652   -0.020689   -2.53703e-17   
-0.285   0.630726   0.0670434   -0.100204   -0.00368686   -0.0209527   -1.31188e-17   
-0.275   0.635786   0.0672472   -0.101918   -0.00372062   -0.0212089   -1.79978e-17   
-0.265   0.640703   0.0674432   -0.103583   -0.00375327   -0.0214574   3.68629e-18   
-0.255   0.645472   0.0676313   -0.105199   -0.0037848   -0.0216981   -2.81893e-18   
-0.245   0.65009   0.0678118   -0.106763   -0.0038152   -0.0219308   5.09575e-18   
-0.235   0.654553   0.0679845   -0.108274   -0.00384446   -0.0221553   -5.96311e-18   
-0.225   0.658857   0.0681497   -0.109732   -0.00387257   -0.0223716   -1.21431e-17   
-0.215   0.663   0.0683072   -0.111135   -0.00389953   -0.0225795   -1.71304e-17   
-0.205   0.666976   0.0684573   -0.112482   -0.00392531   -0.0227788   -2.49366e-17   
-0.195   0.670784   0.0686   -0.113772   -0.00394992   -0.0229694   -4.6187e-17   
-0.185   0.674421   0.0687352   -0.115003   -0.00397335   -0.0231512   1.47451e-17   
-0.175   0.677883   0.068863   -0.116176   -0.00399559   -0.0233241   -1.40946e-17   
-0.165   0.681167   0.0689836   -0.117288   -0.00401663   -0.023488   6.28837e-18   
-0.155   0.684272   0.0690968   -0.118339   -0.00403646   -0.0236428   -2.20093e-17   
-0.145   0.687194   0.0692028   -0.119329   -0.00405509   -0.0237884   -4.17418e-17   
-0.135   0.689932   0.0693016   -0.120256   -0.0040725   -0.0239247   -2.92735e-18   
-0.125   0.692483   0.0693932   -0.12112   -0.00408869   -0.0240515   -3.24176e-17   
-0.115   0.694845   0.0694777   -0.12192   -0.00410365   -0.024169   -2.21177e-17   
-0.105   0.697017   0.069555   -0.122656   -0.00411738   -0.0242768   -1.95156e-18   
-0.095   0.698997   0.0696253   -0.123326   -0.00412988   -0.0243751   -3.36103e-18   
-0.085   0.700783   0.0696884   -0.123931   -0.00414113   -0.0244638   1.40946e-18   
-0.075   0.702374   0.0697445   -0.12447   -0.00415115   -0.0245427   3.46945e-18   
-0.065   0.703768   0.0697935   -0.124942   -0.00415992   -0.0246118   8.5652e-18   
-0.055   0.704966   0.0698355   -0.125348   -0.00416744   -0.0246712   -5.63785e-18   
-0.045   0.705965   0.0698705   -0.125686   -0.00417371   -0.0247207   -4.57533e-17   
-0.035   0.706766   0.0698984   -0.125957   -0.00417873   -0.0247604   -5.7788e-17   
-0.025   0.707366   0.0699194   -0.12616   -0.0041825   -0.0247901   -3.38271e-17   
-0.015   0.707767   0.0699334   -0.126296   -0.00418501   -0.02481   -2.4503e-17   
-0.005   0.707968   0.0699404   -0.126364   -0.00418626   -0.0248199   5.85469e-18   
0.005   0.707968   0.0699404   -0.126364   -0.00418626   -0.0248199   5.85469e-18   
0.015   0.707767   0.0699334   -0.126296   -0.00418501   -0.02481   -1.68051e-17   
0.025   0.707366   0.0699194   -0.12616   -0.0041825   -0.0247901   -3.07913e-17   
0.035   0.706766   0.0698984   -0.125957   -0.00417873   -0.0247604   -3.58871e-17   
0.045   0.705965   0.0698705   -0.125686   -0.00417371   -0.0247207   -4.57533e-17   
0.055   0.704966   0.0698355   -0.125348   -0.00416744   -0.0246712   -5.63785e-18   
0.065   0.703768   0.0697935   -0.124942   -0.00415992   -0.0246118   8.5652e-18   
0.075   0.702374   0.0697445   -0.12447   -0.00415115   -0.0245427   3.46945e-18   
0.085   0.700783   0.0696884   -0.123931   -0.00414113   -0.0244638   1.40946e-18   
0.095   0.698997   0.0696253   -0.123326   -0.00412988   -0.0243751   -3.36103e-18   
0.105   0.697017   0.069555   -0.122656   -0.00411738   -0.0242768   -1.95156e-18   
0.115   0.694845   0.0694777   -0.12192   -0.00410365   -0.024169   -2.21177e-17   
0.125   0.692483   0.0693932   -0.12112   -0.00408869   -0.0240515   -3.24176e-17   
0.135   0.689932   0.0693016   -0.120256   -0.0040725   -0.0239247   -2.92735e-18   
0.145   0.687194   0.0692028   -0.119329   -0.00405509   -0.0237884   -4.17418e-17   
0.155   0.684272   0.0690968   -0.118339   -0.00403646   -0.0236428   -2.20093e-17   
0.165   0.681167   0.0689836   -0.117288   -0.00401663   -0.023488   6.28837e-18   
0.175   0.677883   0.068863   -0.116176   -0.00399559   -0.0233241   1.14925e-17   
0.185   0.674421   0.0687352   -0.115003   -0.00397335   -0.0231512   -1.84314e-18   
0.195   0.670784   0.0686   -0.113772   -0.00394992   -0.0229694   -2.71051e-17   
0.205   0.666976   0.0684573   -0.112482   -0.00392531   -0.0227788   -1.73472e-18   
0.215   0.663   0.0683072   -0.111135   -0.00389953   -0.0225795   -1.95156e-17   
0.225   0.658857   0.0681497   -0.109732   -0.00387257   -0.0223716   -2.2443e-17   
0.235   0.654553   0.0679845   -0.108274   -0.00384446   -0.0221553   -1.27936e-17   
0.245   0.65009   0.0678118   -0.106763   -0.0038152   -0.0219308   5.96311e-18   
0.255   0.645472   0.0676313   -0.105199   -0.0037848   -0.0216981   -3.03577e-18   
0.265   0.640703   0.0674432   -0.103583   -0.00375327   -0.0214574   -3.36103e-18   
0.275   0.635786   0.0672472   -0.101918   -0.00372062   -0.0212089   -2.79724e-17   
0.285   0.630726   0.0670434   -0.100204   -0.00368686   -0.0209527   -1.20346e-17   
0.295   0.625527   0.0668317   -0.0984429   -0.003652   -0.020689   -1.17094e-17   
0.305   0.620194   0.0666119   -0.0966362   -0.00361606   -0.020418   2.46114e-17   
0.315   0.61473   0.0663841   -0.0947854   -0.00357905   -0.0201398   -1.82146e-17   
0.325   0.609141   0.066148   -0.0928921   -0.00354097   -0.0198546   -9.1073e-18   
0.335   0.603432   0.0659037   -0.0909579   -0.00350185   -0.0195626   -3.23092e-17   
0.345   0.597607   0.0656511   -0.0889845   -0.00346169   -0.0192641   -2.01662e-17   
0.355   0.591671   0.06539   -0.0869737   -0.00342051   -0.0189592   -3.71881e-17   
0.365   0.585631   0.0651203   -0.0849272   -0.00337833   -0.0186481   -2.92735e-18   
0.375   0.579491   0.064842   -0.0828469   -0.00333516   -0.018331   -1.40946e-18   
0.385   0.573256   0.0645549   -0.0807346   -0.00329102   -0.0180082   -7.80626e-18   
0.395   0.566934   0.0642589   -0.0785924   -0.00324592   -0.0176799   -1.02999e-17   
0.405   0.560529   0.0639539   -0.0764222   -0.00319987   -0.0173464   3.3285e-17   
0.415   0.554048   0.0636397   -0.074226   -0.00315291   -0.0170077   -2.81893e-17   
